	src	dest	pathway	source	type	src_tf	dest_tf	species
ADAM10_NOTCH2	ADAM10	NOTCH2	NOTCH2 Activation and Transmission of Signal to the Nucleus	Reactome	Control(Out: ACTIVATION of BiochemicalReaction)	NO	NO	Human
ADAM17_ERBB4	ADAM17	ERBB4	Signaling by ERBB4	Reactome	Control(Out: ACTIVATION of BiochemicalReaction)	NO	NO	Human
ADAM17_ERBB4	ADAM17	ERBB4	Nuclear signaling by ERBB4	Reactome	Control(Out: ACTIVATION of BiochemicalReaction)	NO	NO	Human
ADAM17_NOTCH1	ADAM17	NOTCH1	Notch signaling pathway	KEGG	Process(activation)	NO	NO	Human
ADAM17_NOTCH1	ADAM17	NOTCH1	Signaling by NOTCH	Reactome	Control(Out: ACTIVATION of BiochemicalReaction)	NO	NO	Human
ADAM17_NOTCH1	ADAM17	NOTCH1	Signaling by NOTCH1	Reactome	Control(Out: ACTIVATION of BiochemicalReaction)	NO	NO	Human
ADAM17_NOTCH1	ADAM17	NOTCH1	Activated NOTCH1 Transmits Signal to the Nucleus	Reactome	Control(Out: ACTIVATION of BiochemicalReaction)	NO	NO	Human
ADAM17_NOTCH1	ADAM17	NOTCH1	Signaling by NOTCH1 PEST Domain Mutants in Cancer	Reactome	Control(Out: ACTIVATION of BiochemicalReaction)	NO	NO	Human
ADAM17_NOTCH1	ADAM17	NOTCH1	Signaling by NOTCH1 in Cancer	Reactome	Control(Out: ACTIVATION of BiochemicalReaction)	NO	NO	Human
ADAM17_NOTCH1	ADAM17	NOTCH1	Constitutive Signaling by NOTCH1 PEST Domain Mutants	Reactome	Control(Out: ACTIVATION of BiochemicalReaction)	NO	NO	Human
ADAM17_NOTCH1	ADAM17	NOTCH1	Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant	Reactome	Control(Out: ACTIVATION of BiochemicalReaction)	NO	NO	Human
ADAM17_NOTCH1	ADAM17	NOTCH1	Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant	Reactome	Control(Out: ACTIVATION of BiochemicalReaction)	NO	NO	Human
ADAM17_NOTCH1	ADAM17	NOTCH1	Signaling by NOTCH1 HD Domain Mutants in Cancer	Reactome	Control(Out: ACTIVATION of BiochemicalReaction)	NO	NO	Human
ADAM17_NOTCH1	ADAM17	NOTCH1	Constitutive Signaling by NOTCH1 HD Domain Mutants	Reactome	Control(Out: ACTIVATION of BiochemicalReaction)	NO	NO	Human
ADAM17_NOTCH1	ADAM17	NOTCH1	Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer	Reactome	Control(Out: ACTIVATION of BiochemicalReaction)	NO	NO	Human
ADAM17_NOTCH1	ADAM17	NOTCH1	Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	Reactome	Control(Out: ACTIVATION of BiochemicalReaction)	NO	NO	Human
ADCYAP1_ADCYAP1R1	ADCYAP1	ADCYAP1R1	cAMP signaling pathway	KEGG	Process(activation)	NO	NO	Human
ADCYAP1_ADCYAP1R1	ADCYAP1	ADCYAP1R1	Neuroactive ligand-receptor interaction	KEGG	Process(activation)	NO	NO	Human
ADCYAP1_ADCYAP1R1	ADCYAP1	ADCYAP1R1	Circadian entrainment	KEGG	Process(activation)	NO	NO	Human
ADCYAP1_ADCYAP1R1	ADCYAP1	ADCYAP1R1	Insulin secretion	KEGG	Process(activation)	NO	NO	Human
ADCYAP1_ADCYAP1R1	ADCYAP1	ADCYAP1R1	Renin secretion	KEGG	Process(activation)	NO	NO	Human
ADCYAP1_TSHR	ADCYAP1	TSHR	cAMP signaling pathway	KEGG	Process(activation)	NO	NO	Human
ADCYAP1_VIPR2	ADCYAP1	VIPR2	cAMP signaling pathway	KEGG	Process(activation)	NO	NO	Human
ADIPOQ_ADIPOR1	ADIPOQ	ADIPOR1	AMPK signaling pathway	KEGG	Process(activation)	NO	NO	Human
ADIPOQ_ADIPOR1	ADIPOQ	ADIPOR1	Longevity regulating pathway	KEGG	Process(activation)	NO	NO	Human
ADIPOQ_ADIPOR1	ADIPOQ	ADIPOR1	Adipocytokine signaling pathway	KEGG	Process(activation)	NO	NO	Human
ADIPOQ_ADIPOR1	ADIPOQ	ADIPOR1	Non-alcoholic fatty liver disease (NAFLD)	KEGG	Process(activation)	NO	NO	Human
ADIPOQ_ADIPOR1	ADIPOQ	ADIPOR1	Non-alcoholic fatty liver disease	KEGG	Process(activation)	NO	NO	Human
ADIPOQ_ADIPOR2	ADIPOQ	ADIPOR2	AMPK signaling pathway	KEGG	Process(activation)	NO	NO	Human
ADIPOQ_ADIPOR2	ADIPOQ	ADIPOR2	Longevity regulating pathway	KEGG	Process(activation)	NO	NO	Human
ADIPOQ_ADIPOR2	ADIPOQ	ADIPOR2	Adipocytokine signaling pathway	KEGG	Process(activation)	NO	NO	Human
ADIPOQ_ADIPOR2	ADIPOQ	ADIPOR2	Non-alcoholic fatty liver disease (NAFLD)	KEGG	Process(activation)	NO	NO	Human
ADIPOQ_ADIPOR2	ADIPOQ	ADIPOR2	Non-alcoholic fatty liver disease	KEGG	Process(activation)	NO	NO	Human
ADM_CALCR	ADM	CALCR	Neuroactive ligand-receptor interaction	KEGG	Process(activation)	NO	NO	Human
ADM_CALCRL	ADM	CALCRL	Neuroactive ligand-receptor interaction	KEGG	Process(activation)	NO	NO	Human
ADM_CALCRL	ADM	CALCRL	Vascular smooth muscle contraction	KEGG	Process(activation)	NO	NO	Human
ADM_RAMP1	ADM	RAMP1	Vascular smooth muscle contraction	KEGG	Process(activation)	NO	NO	Human
ADM_RAMP2	ADM	RAMP2	Vascular smooth muscle contraction	KEGG	Process(activation)	NO	NO	Human
ADM_RAMP3	ADM	RAMP3	Vascular smooth muscle contraction	KEGG	Process(activation)	NO	NO	Human
AFDN_NECTIN1	AFDN	NECTIN1	Adherens junction	KEGG	Process(binding/association)	NO	NO	Human
AFDN_NECTIN2	AFDN	NECTIN2	Adherens junction	KEGG	Process(binding/association)	NO	NO	Human
AFDN_NECTIN3	AFDN	NECTIN3	Adherens junction	KEGG	Process(binding/association)	NO	NO	Human
AFDN_NECTIN4	AFDN	NECTIN4	Adherens junction	KEGG	Process(binding/association)	NO	NO	Human
AGT_AGTR2	AGT	AGTR2	Neuroactive ligand-receptor interaction	KEGG	Process(activation)	NO	NO	Human
AGT_AGTR2	AGT	AGTR2	Adrenergic signaling in cardiomyocytes	KEGG	Process(activation)	NO	NO	Human
AGT_GRM7	AGT	GRM7	Phospholipase D signaling pathway	KEGG	Process(activation)	NO	NO	Human
AGT_MAS1	AGT	MAS1	Neuroactive ligand-receptor interaction	KEGG	Process(activation)	NO	NO	Human
AMH_ACVR1	AMH	ACVR1	Cytokine-cytokine receptor interaction	KEGG	Process(missing)	NO	NO	Human
AMH_AMHR2	AMH	AMHR2	Cytokine-cytokine receptor interaction	KEGG	Process(missing)	NO	NO	Human
AMH_AMHR2	AMH	AMHR2	TGF-beta signaling pathway	KEGG	Process(activation)	NO	NO	Human
ANGPT1_TEK	ANGPT1	TEK	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Human
ANGPT1_TEK	ANGPT1	TEK	Ras signaling pathway	KEGG	Process(activation)	NO	NO	Human
ANGPT1_TEK	ANGPT1	TEK	Rap1 signaling pathway	KEGG	Process(activation)	NO	NO	Human
ANGPT1_TEK	ANGPT1	TEK	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Human
ANGPT1_TEK	ANGPT1	TEK	Rheumatoid arthritis	KEGG	Process(binding/association)	NO	NO	Human
ANGPT2_TEK	ANGPT2	TEK	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Human
ANGPT2_TEK	ANGPT2	TEK	Ras signaling pathway	KEGG	Process(activation)	NO	NO	Human
ANGPT2_TEK	ANGPT2	TEK	Rap1 signaling pathway	KEGG	Process(activation)	NO	NO	Human
ANGPT2_TEK	ANGPT2	TEK	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Human
ANGPT4_TEK	ANGPT4	TEK	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Human
ANGPT4_TEK	ANGPT4	TEK	Ras signaling pathway	KEGG	Process(activation)	NO	NO	Human
ANGPT4_TEK	ANGPT4	TEK	Rap1 signaling pathway	KEGG	Process(activation)	NO	NO	Human
ANGPT4_TEK	ANGPT4	TEK	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Human
ANGPTL4_GPIHBP1	ANGPTL4	GPIHBP1	Assembly of active LPL and LIPC lipase complexes	Reactome	Control(Out: ACTIVATION of BiochemicalReaction)	NO	NO	Human
ANGPTL4_GPIHBP1	ANGPTL4	GPIHBP1	Plasma lipoprotein remodeling	Reactome	Control(Out: ACTIVATION of BiochemicalReaction)	NO	NO	Human
APLN_APLNR	APLN	APLNR	Neuroactive ligand-receptor interaction	KEGG	Process(activation)	NO	NO	Human
APLN_APLNR	APLN	APLNR	Apelin signaling pathway	KEGG	Process(activation)	NO	NO	Human
AREG_EGFR	AREG	EGFR	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Human
AREG_EGFR	AREG	EGFR	ErbB signaling pathway	KEGG	Process(activation)	NO	NO	Human
AREG_EGFR	AREG	EGFR	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Human
AREG_EGFR	AREG	EGFR	Colorectal cancer	KEGG	Process(activation)	NO	NO	Human
AREG_ERBB3	AREG	ERBB3	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Human
AREG_ERBB3	AREG	ERBB3	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Human
ARF1_PLD2	ARF1	PLD2	Phospholipase D signaling pathway	KEGG	Process(activation)	NO	NO	Human
ARF6_PLD1	ARF6	PLD1	Phospholipase D signaling pathway	KEGG	Process(activation)	NO	NO	Human
ARF6_PLD1	ARF6	PLD1	Fc gamma R-mediated phagocytosis	KEGG	Process(activation)	NO	NO	Human
ASIP_MC1R	ASIP	MC1R	Melanogenesis	KEGG	Process(inhibition)	NO	NO	Human
AVP_AVPR1A	AVP	AVPR1A	Phospholipase D signaling pathway	KEGG	Process(activation)	NO	NO	Human
AVP_AVPR1A	AVP	AVPR1A	Neuroactive ligand-receptor interaction	KEGG	Process(activation)	NO	NO	Human
AVP_AVPR1A	AVP	AVPR1A	Vascular smooth muscle contraction	KEGG	Process(activation)	NO	NO	Human
AVP_AVPR1B	AVP	AVPR1B	Phospholipase D signaling pathway	KEGG	Process(activation)	NO	NO	Human
AVP_AVPR1B	AVP	AVPR1B	Neuroactive ligand-receptor interaction	KEGG	Process(activation)	NO	NO	Human
AVP_AVPR1B	AVP	AVPR1B	Vascular smooth muscle contraction	KEGG	Process(activation)	NO	NO	Human
AVP_AVPR2	AVP	AVPR2	Phospholipase D signaling pathway	KEGG	Process(activation)	NO	NO	Human
AVP_AVPR2	AVP	AVPR2	Neuroactive ligand-receptor interaction	KEGG	Process(activation)	NO	NO	Human
AVP_AVPR2	AVP	AVPR2	Vasopressin-regulated water reabsorption	KEGG	Process(activation)	NO	NO	Human
Adam10_Notch3	Adam10	Notch3	Signaling by NOTCH	Reactome	Control(Out: ACTIVATION of BiochemicalReaction)	NO	NO	Mouse
Adam10_Notch3	Adam10	Notch3	Signaling by NOTCH3	Reactome	Control(Out: ACTIVATION of BiochemicalReaction)	NO	NO	Mouse
Adam10_Notch3	Adam10	Notch3	NOTCH3 Activation and Transmission of Signal to the Nucleus	Reactome	Control(Out: ACTIVATION of BiochemicalReaction)	NO	NO	Mouse
Adam17_Notch1	Adam17	Notch1	Notch signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Adam17_Notch2	Adam17	Notch2	Notch signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Adcyap1_Adcyap1r1	Adcyap1	Adcyap1r1	cAMP signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Adcyap1_Adcyap1r1	Adcyap1	Adcyap1r1	Neuroactive ligand-receptor interaction	KEGG	Process(activation)	NO	NO	Mouse
Adcyap1_Adcyap1r1	Adcyap1	Adcyap1r1	Circadian entrainment	KEGG	Process(activation)	NO	NO	Mouse
Adcyap1_Adcyap1r1	Adcyap1	Adcyap1r1	Insulin secretion	KEGG	Process(activation)	NO	NO	Mouse
Adcyap1_Adcyap1r1	Adcyap1	Adcyap1r1	Renin secretion	KEGG	Process(activation)	NO	NO	Mouse
Adcyap1_Vipr2	Adcyap1	Vipr2	cAMP signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Adipoq_Adipor1	Adipoq	Adipor1	AMPK signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Adipoq_Adipor1	Adipoq	Adipor1	Longevity regulating pathway	KEGG	Process(activation)	NO	NO	Mouse
Adipoq_Adipor1	Adipoq	Adipor1	Adipocytokine signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Adipoq_Adipor1	Adipoq	Adipor1	Non-alcoholic fatty liver disease (NAFLD)	KEGG	Process(activation)	NO	NO	Mouse
Adipoq_Adipor2	Adipoq	Adipor2	AMPK signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Adipoq_Adipor2	Adipoq	Adipor2	Longevity regulating pathway	KEGG	Process(activation)	NO	NO	Mouse
Adipoq_Adipor2	Adipoq	Adipor2	Adipocytokine signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Adipoq_Adipor2	Adipoq	Adipor2	Non-alcoholic fatty liver disease (NAFLD)	KEGG	Process(activation)	NO	NO	Mouse
Afdn_Nectin1	Afdn	Nectin1	Adherens junction	KEGG	Process(binding/association)	NO	NO	Mouse
Afdn_Nectin2	Afdn	Nectin2	Adherens junction	KEGG	Process(binding/association)	NO	NO	Mouse
Afdn_Nectin3	Afdn	Nectin3	Adherens junction	KEGG	Process(binding/association)	NO	NO	Mouse
Afdn_Nectin4	Afdn	Nectin4	Adherens junction	KEGG	Process(binding/association)	NO	NO	Mouse
Agt_Agtr1a	Agt	Agtr1a	Phospholipase D signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Agt_Agtr1a	Agt	Agtr1a	Neuroactive ligand-receptor interaction	KEGG	Process(activation)	NO	NO	Mouse
Agt_Agtr1a	Agt	Agtr1a	Adrenergic signaling in cardiomyocytes	KEGG	Process(activation)	NO	NO	Mouse
Agt_Agtr1a	Agt	Agtr1a	Vascular smooth muscle contraction	KEGG	Process(activation)	NO	NO	Mouse
Agt_Agtr1a	Agt	Agtr1a	Aldosterone synthesis and secretion	KEGG	Process(activation)	NO	NO	Mouse
Agt_Agtr1a	Agt	Agtr1a	Cortisol synthesis and secretion	KEGG	Process(activation)	NO	NO	Mouse
Agt_Agtr1a	Agt	Agtr1a	AGE-RAGE signaling pathway in diabetic complications	KEGG	Process(activation)	NO	NO	Mouse
Agt_Agtr1a	Agt	Agtr1a	Cushing syndrome	KEGG	Process(activation)	NO	NO	Mouse
Agt_Agtr1a	Agt	Agtr1a	Pathways in cancer	KEGG	Process(activation)	NO	NO	Mouse
Agt_Agtr1b	Agt	Agtr1b	Phospholipase D signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Agt_Agtr1b	Agt	Agtr1b	Neuroactive ligand-receptor interaction	KEGG	Process(activation)	NO	NO	Mouse
Agt_Agtr1b	Agt	Agtr1b	Adrenergic signaling in cardiomyocytes	KEGG	Process(activation)	NO	NO	Mouse
Agt_Agtr1b	Agt	Agtr1b	Vascular smooth muscle contraction	KEGG	Process(activation)	NO	NO	Mouse
Agt_Agtr1b	Agt	Agtr1b	Aldosterone synthesis and secretion	KEGG	Process(activation)	NO	NO	Mouse
Agt_Agtr1b	Agt	Agtr1b	Cortisol synthesis and secretion	KEGG	Process(activation)	NO	NO	Mouse
Agt_Agtr1b	Agt	Agtr1b	AGE-RAGE signaling pathway in diabetic complications	KEGG	Process(activation)	NO	NO	Mouse
Agt_Agtr1b	Agt	Agtr1b	Cushing syndrome	KEGG	Process(activation)	NO	NO	Mouse
Agt_Agtr1b	Agt	Agtr1b	Pathways in cancer	KEGG	Process(activation)	NO	NO	Mouse
Agt_Agtr2	Agt	Agtr2	Neuroactive ligand-receptor interaction	KEGG	Process(activation)	NO	NO	Mouse
Agt_Agtr2	Agt	Agtr2	Adrenergic signaling in cardiomyocytes	KEGG	Process(activation)	NO	NO	Mouse
Agt_Mas1	Agt	Mas1	Neuroactive ligand-receptor interaction	KEGG	Process(activation)	NO	NO	Mouse
Amh_Acvr1	Amh	Acvr1	Cytokine-cytokine receptor interaction	KEGG	Process(missing)	NO	NO	Mouse
Amh_Amhr2	Amh	Amhr2	Cytokine-cytokine receptor interaction	KEGG	Process(missing)	NO	NO	Mouse
Amh_Amhr2	Amh	Amhr2	TGF-beta signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Amh_Bmpr1a	Amh	Bmpr1a	Cytokine-cytokine receptor interaction	KEGG	Process(missing)	NO	NO	Mouse
Amh_Bmpr1a	Amh	Bmpr1a	Hippo signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Angpt1_Tek	Angpt1	Tek	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Angpt1_Tek	Angpt1	Tek	Ras signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Angpt1_Tek	Angpt1	Tek	Rap1 signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Angpt1_Tek	Angpt1	Tek	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Angpt1_Tek	Angpt1	Tek	Rheumatoid arthritis	KEGG	Process(binding/association)	NO	NO	Mouse
Angpt2_Tek	Angpt2	Tek	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Angpt2_Tek	Angpt2	Tek	Ras signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Angpt2_Tek	Angpt2	Tek	Rap1 signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Angpt2_Tek	Angpt2	Tek	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Angpt4_Tek	Angpt4	Tek	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Angpt4_Tek	Angpt4	Tek	Ras signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Angpt4_Tek	Angpt4	Tek	Rap1 signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Angpt4_Tek	Angpt4	Tek	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Angptl4_Gpihbp1	Angptl4	Gpihbp1	Assembly of active LPL and LIPC lipase complexes	Reactome	Control(Out: ACTIVATION of BiochemicalReaction)	NO	NO	Mouse
Angptl4_Gpihbp1	Angptl4	Gpihbp1	Plasma lipoprotein remodeling	Reactome	Control(Out: ACTIVATION of BiochemicalReaction)	NO	NO	Mouse
Angptl8_Gpihbp1	Angptl8	Gpihbp1	Assembly of active LPL and LIPC lipase complexes	Reactome	Control(Out: ACTIVATION of BiochemicalReaction)	NO	NO	Mouse
Angptl8_Gpihbp1	Angptl8	Gpihbp1	Plasma lipoprotein remodeling	Reactome	Control(Out: ACTIVATION of BiochemicalReaction)	NO	NO	Mouse
Apln_Aplnr	Apln	Aplnr	Neuroactive ligand-receptor interaction	KEGG	Process(activation)	NO	NO	Mouse
Apln_Aplnr	Apln	Aplnr	Apelin signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Apob_Ldlr	Apob	Ldlr	Cholesterol metabolism	KEGG	Process(binding/association)	NO	NO	Mouse
Areg_Egfr	Areg	Egfr	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Areg_Egfr	Areg	Egfr	ErbB signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Areg_Egfr	Areg	Egfr	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Areg_Egfr	Areg	Egfr	Colorectal cancer	KEGG	Process(activation)	NO	NO	Mouse
Areg_Erbb2	Areg	Erbb2	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Areg_Erbb2	Areg	Erbb2	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Areg_Erbb3	Areg	Erbb3	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Areg_Erbb3	Areg	Erbb3	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Areg_Erbb4	Areg	Erbb4	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Areg_Erbb4	Areg	Erbb4	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Areg_Igf1r	Areg	Igf1r	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Areg_Igf1r	Areg	Igf1r	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Arf6_Pld1	Arf6	Pld1	Phospholipase D signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Arf6_Pld1	Arf6	Pld1	Fc gamma R-mediated phagocytosis	KEGG	Process(activation)	NO	NO	Mouse
Avp_Avpr1a	Avp	Avpr1a	Phospholipase D signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Avp_Avpr1a	Avp	Avpr1a	Neuroactive ligand-receptor interaction	KEGG	Process(activation)	NO	NO	Mouse
Avp_Avpr1a	Avp	Avpr1a	Vascular smooth muscle contraction	KEGG	Process(activation)	NO	NO	Mouse
Avp_Avpr1b	Avp	Avpr1b	Phospholipase D signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Avp_Avpr1b	Avp	Avpr1b	Neuroactive ligand-receptor interaction	KEGG	Process(activation)	NO	NO	Mouse
Avp_Avpr1b	Avp	Avpr1b	Vascular smooth muscle contraction	KEGG	Process(activation)	NO	NO	Mouse
Avp_Avpr2	Avp	Avpr2	Phospholipase D signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Avp_Avpr2	Avp	Avpr2	Neuroactive ligand-receptor interaction	KEGG	Process(activation)	NO	NO	Mouse
Avp_Avpr2	Avp	Avpr2	Vasopressin-regulated water reabsorption	KEGG	Process(activation)	NO	NO	Mouse
BDNF_NGFR	BDNF	NGFR	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Human
BDNF_NGFR	BDNF	NGFR	Ras signaling pathway	KEGG	Process(activation)	NO	NO	Human
BDNF_NGFR	BDNF	NGFR	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Human
BDNF_NGFR	BDNF	NGFR	Neurotrophin signaling pathway	KEGG	Process(activation),Process(binding/association)	NO	NO	Human
BDNF_NTRK2	BDNF	NTRK2	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Human
BDNF_NTRK2	BDNF	NTRK2	Ras signaling pathway	KEGG	Process(activation)	NO	NO	Human
BDNF_NTRK2	BDNF	NTRK2	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Human
BDNF_NTRK2	BDNF	NTRK2	Neurotrophin signaling pathway	KEGG	Process(activation),Process(binding/association)	NO	NO	Human
BDNF_NTRK2	BDNF	NTRK2	Alcoholism	KEGG	Process(activation)	NO	NO	Human
BMP10_ACVR2A	BMP10	ACVR2A	Cytokine-cytokine receptor interaction	KEGG	Process(missing)	NO	NO	Human
BMP10_ACVRL1	BMP10	ACVRL1	Cytokine-cytokine receptor interaction	KEGG	Process(missing)	NO	NO	Human
BMP10_BMPR2	BMP10	BMPR2	Cytokine-cytokine receptor interaction	KEGG	Process(missing)	NO	NO	Human
BMP15_BMPR1B	BMP15	BMPR1B	Cytokine-cytokine receptor interaction	KEGG	Process(activation)	NO	NO	Human
BMP15_BMPR2	BMP15	BMPR2	Cytokine-cytokine receptor interaction	KEGG	Process(activation)	NO	NO	Human
BMP2_ACVR1	BMP2	ACVR1	TGF-beta signaling pathway	KEGG	Process(activation)	NO	NO	Human
BMP2_ACVR2A	BMP2	ACVR2A	Cytokine-cytokine receptor interaction	KEGG	Process(activation)	NO	NO	Human
BMP2_ACVR2B	BMP2	ACVR2B	Cytokine-cytokine receptor interaction	KEGG	Process(activation)	NO	NO	Human
BMP2_BMPR1A	BMP2	BMPR1A	Cytokine-cytokine receptor interaction	KEGG	Process(activation)	NO	NO	Human
BMP2_BMPR1A	BMP2	BMPR1A	TGF-beta signaling pathway	KEGG	Process(activation)	NO	NO	Human
BMP2_BMPR1A	BMP2	BMPR1A	Hippo signaling pathway	KEGG	Process(activation)	NO	NO	Human
BMP2_BMPR1B	BMP2	BMPR1B	Cytokine-cytokine receptor interaction	KEGG	Process(activation)	NO	NO	Human
BMP2_BMPR1B	BMP2	BMPR1B	TGF-beta signaling pathway	KEGG	Process(activation)	NO	NO	Human
BMP2_BMPR1B	BMP2	BMPR1B	Hippo signaling pathway	KEGG	Process(activation)	NO	NO	Human
BMP2_BMPR2	BMP2	BMPR2	Cytokine-cytokine receptor interaction	KEGG	Process(activation)	NO	NO	Human
BMP2_BMPR2	BMP2	BMPR2	TGF-beta signaling pathway	KEGG	Process(activation)	NO	NO	Human
BMP2_BMPR2	BMP2	BMPR2	Hippo signaling pathway	KEGG	Process(activation)	NO	NO	Human
BMP3_ACVR2B	BMP3	ACVR2B	Cytokine-cytokine receptor interaction	KEGG	Process(missing)	NO	NO	Human
